Date,Close/Last,Volume,Open,High,Low
10/07/2025,$211.51,115748100,$214.85,$218.90,$209.28
10/06/2025,$203.71,248859600,$226.445,$226.709,$203.01
10/03/2025,$164.67,42699150,$170.68,$170.68,$163.14
10/02/2025,$169.73,55475230,$168.675,$171.06,$166.12
10/01/2025,$164.01,39895180,$160.93,$164.18,$160.49
09/30/2025,$161.79,29669330,$160.795,$162.28,$159.33
09/29/2025,$161.36,39828790,$160.12,$164.30,$159.90
09/26/2025,$159.46,30316930,$160.52,$162.11,$157.05
09/25/2025,$161.27,36809880,$157.135,$161.63,$154.7798
09/24/2025,$160.88,38464120,$162.98,$165.10,$158.43
09/23/2025,$160.90,39448320,$160.52,$163.39,$159.21
09/22/2025,$159.79,46505480,$157.42,$162.68,$157.42
09/19/2025,$157.39,55448080,$157.38,$159.84,$155.90
09/18/2025,$157.92,84549470,$150.96,$158.7699,$149.85
09/17/2025,$159.16,41823840,$159.28,$161.63,$155.76
09/16/2025,$160.46,27946480,$161.37,$161.95,$159.22
09/15/2025,$161.16,36808730,$160.01,$162.30,$157.6012
09/12/2025,$158.57,42232780,$157.00,$160.41,$154.92
09/11/2025,$155.67,48817720,$158.62,$160.21,$154.99
09/10/2025,$159.54,52465270,$163.54,$164.525,$158.00
09/09/2025,$155.82,42802470,$151.99,$156.66,$151.93
09/08/2025,$151.41,41849000,$151.80,$152.6388,$149.22
09/05/2025,$151.14,78255950,$157.12,$157.14,$150.18
09/04/2025,$161.79,32103500,$159.935,$162.05,$157.79
09/03/2025,$162.13,30752790,$161.81,$164.75,$160.58
09/02/2025,$162.32,38656130,$158.42,$162.3916,$156.62
08/29/2025,$162.63,37516820,$166.81,$168.57,$161.90
08/28/2025,$168.58,36285190,$168.50,$170.99,$166.65
08/27/2025,$167.13,37031040,$166.04,$167.68,$164.65
08/26/2025,$166.62,52138560,$168.65,$169.77,$164.91
08/25/2025,$163.36,36134680,$165.55,$165.59,$161.72
08/22/2025,$167.76,43998610,$162.17,$168.53,$161.80
08/21/2025,$163.71,37880460,$165.86,$165.8799,$162.2558
08/20/2025,$165.20,60233230,$164.10,$166.65,$158.25
08/19/2025,$166.55,64455010,$173.10,$173.17,$166.10
08/18/2025,$176.14,35937530,$176.755,$178.7953,$174.36
08/15/2025,$177.51,51543140,$180.06,$180.14,$176.25
08/14/2025,$180.95,66308820,$179.83,$185.44,$179.56
08/13/2025,$184.42,108305100,$179.91,$186.65,$179.38
08/12/2025,$174.95,52335750,$173.32,$175.16,$168.50
08/11/2025,$172.28,70651030,$170.04,$178.82,$169.38
08/08/2025,$172.76,68866690,$174.04,$176.48,$170.52
08/07/2025,$172.40,95448310,$166.835,$175.75,$166.70
08/06/2025,$163.12,133641800,$165.05,$166.18,$157.80
08/05/2025,$174.31,88808520,$177.565,$177.99,$171.80
08/04/2025,$176.78,52951040,$174.605,$177.86,$173.56
08/01/2025,$171.70,75396130,$170.16,$174.40,$166.82
07/31/2025,$176.31,71765290,$182.015,$182.50,$173.00
07/30/2025,$179.51,64820290,$175.605,$180.37,$173.80
07/29/2025,$177.44,108154800,$175.205,$182.31,$174.68
07/28/2025,$173.66,68267840,$169.08,$174.70,$168.67
07/25/2025,$166.47,53432260,$163.505,$167.175,$162.36
07/24/2025,$162.12,48440110,$159.12,$163.93,$158.36
07/23/2025,$158.65,41510900,$156.315,$159.4485,$156.00
07/22/2025,$154.72,49028020,$156.20,$156.2291,$149.34
07/21/2025,$157.00,39021130,$157.62,$160.34,$156.92
07/18/2025,$156.99,48859840,$159.59,$160.83,$155.81
07/17/2025,$160.41,50605120,$161.81,$161.96,$158.68
07/16/2025,$160.08,59492760,$155.31,$160.36,$152.85
07/15/2025,$155.61,93370080,$153.75,$158.68,$153.56
07/14/2025,$146.24,44718550,$145.09,$147.58,$141.90
07/11/2025,$146.42,50049180,$142.60,$147.40,$141.60
07/10/2025,$144.16,61101470,$143.00,$145.82,$141.85
07/09/2025,$138.41,37013130,$138.69,$140.65,$137.59
07/08/2025,$137.82,36124610,$137.32,$139.15,$135.91
07/07/2025,$134.80,37395010,$136.56,$137.44,$133.50
07/03/2025,$137.91,28645990,$139.11,$139.50,$137.32
07/02/2025,$138.52,39227990,$135.53,$139.78,$135.22
07/01/2025,$136.11,55257240,$138.77,$140.23,$135.1202
06/30/2025,$141.90,42972470,$144.00,$146.00,$141.01
06/27/2025,$143.81,61937850,$144.18,$147.7504,$141.63
06/26/2025,$143.68,58180080,$145.97,$146.00,$141.91
06/25/2025,$143.40,74607220,$140.94,$144.18,$139.46
06/24/2025,$138.43,78572000,$133.43,$138.79,$132.93
06/23/2025,$129.58,65152870,$130.47,$133.25,$126.82
06/20/2025,$128.24,79930980,$129.00,$132.805,$127.55
06/18/2025,$126.79,49627110,$128.01,$129.21,$125.77
06/17/2025,$127.10,86623910,$127.93,$130.70,$126.58
06/16/2025,$126.39,100968500,$118.635,$128.1393,$117.78
06/13/2025,$116.16,39702740,$116.045,$117.883,$115.06
06/12/2025,$118.50,44718370,$120.615,$122.25,$118.03
06/11/2025,$121.14,32261860,$124.44,$124.47,$119.88
06/10/2025,$123.24,41691910,$121.105,$124.09,$120.80
06/09/2025,$121.73,55437650,$119.18,$122.3699,$119.04
06/06/2025,$116.19,27042080,$117.685,$118.38,$115.88
06/05/2025,$115.69,34182900,$118.95,$119.2448,$114.71
06/04/2025,$118.58,31024990,$117.41,$119.295,$115.73
06/03/2025,$117.31,37161480,$114.50,$117.68,$113.28
06/02/2025,$114.63,34078360,$111.06,$114.86,$111.01
05/30/2025,$110.73,36088470,$111.584,$112.11,$108.6154
05/29/2025,$113.03,30572130,$115.485,$115.54,$112.13
05/28/2025,$112.86,27483740,$114.915,$114.948,$112.66
05/27/2025,$114.56,37885020,$113.175,$115.395,$112.27
05/23/2025,$110.31,30867270,$108.085,$111.015,$107.6671
05/22/2025,$110.71,29251960,$111.90,$112.64,$110.61
05/21/2025,$112.06,43594610,$113.85,$116.10,$111.09
05/20/2025,$113.51,29030820,$114.35,$114.51,$112.08
05/19/2025,$114.74,37737370,$115.015,$115.53,$114.06
05/16/2025,$117.17,43419700,$118.07,$118.24,$116.01
05/15/2025,$114.99,43843240,$117.02,$117.50,$114.01
05/14/2025,$117.72,86743700,$119.83,$122.52,$116.59
05/13/2025,$112.46,55659510,$109.60,$113.1277,$109.00
05/12/2025,$108.12,50543400,$110.415,$110.667,$106.98
05/09/2025,$102.84,31704260,$102.585,$103.54,$101.60
05/08/2025,$101.70,54231360,$101.92,$105.44,$101.56
05/07/2025,$100.36,86648750,$100.75,$103.42,$96.88
05/06/2025,$98.62,54264250,$98.41,$100.07,$97.44
05/05/2025,$100.59,41268890,$99.00,$102.05,$98.76
05/02/2025,$98.80,29957890,$98.40,$99.88,$98.30
05/01/2025,$96.65,29591510,$99.265,$100.10,$96.45
04/30/2025,$97.35,29730730,$92.81,$97.55,$91.87
04/29/2025,$96.06,20700640,$95.755,$97.1767,$95.33
04/28/2025,$96.39,30456680,$95.575,$97.4865,$94.27
04/25/2025,$96.645,28575340,$93.275,$97.10,$92.85
04/24/2025,$94.47,33681920,$91.59,$94.75,$90.37
04/23/2025,$90.39,41102590,$91.875,$93.74,$90.12
04/22/2025,$86.26,35236740,$86.12,$87.17,$85.17
04/21/2025,$85.56,33855390,$86.015,$86.14,$83.75
04/17/2025,$87.50,34801440,$88.84,$89.03,$86.515
04/16/2025,$88.29,62109020,$87.61,$90.47,$85.295
04/15/2025,$95.29,28116540,$94.66,$96.85,$94.62
04/14/2025,$94.50,36002970,$97.11,$97.3699,$93.45
04/11/2025,$93.40,57892600,$90.51,$94.76,$90.50
04/10/2025,$88.70,65210570,$91.00,$92.95,$85.06
04/09/2025,$96.84,97827350,$79.22,$97.91,$78.87
04/08/2025,$78.21,69910230,$86.145,$88.93,$76.48
04/07/2025,$83.64,70515430,$80.68,$89.00,$77.75
04/04/2025,$85.76,65847020,$90.10,$91.08,$83.67
04/03/2025,$93.80,50472540,$97.79,$99.4499,$93.64
04/02/2025,$102.96,20793990,$101.52,$104.185,$100.76
04/01/2025,$102.78,23523230,$102.16,$102.83,$100.93
03/31/2025,$102.74,30865340,$100.235,$102.82,$98.80
03/28/2025,$103.22,31069110,$105.525,$106.51,$102.48
03/27/2025,$106.65,32773710,$106.11,$107.62,$105.5499
03/26/2025,$110.19,39976490,$114.11,$115.8999,$108.68
03/25/2025,$114.81,29077510,$113.265,$114.95,$112.71
03/24/2025,$113.85,53342000,$109.73,$114.85,$109.40
03/21/2025,$106.44,30767940,$105.33,$107.25,$104.33
03/20/2025,$107.14,26871840,$105.12,$108.26,$105.12
03/19/2025,$106.23,32287500,$104.42,$107.90,$101.96
03/18/2025,$103.51,27152830,$103.85,$104.55,$102.97
03/17/2025,$104.59,43689520,$102.60,$106.15,$102.60
03/14/2025,$100.97,24715270,$99.64,$101.22,$99.58
03/13/2025,$98.11,28575150,$99.715,$100.07,$97.27
03/12/2025,$100.79,34241290,$99.045,$101.715,$98.17
03/11/2025,$96.76,34078300,$96.79,$98.1599,$94.73
03/10/2025,$96.63,38733190,$98.57,$101.29,$95.83
03/07/2025,$100.31,33254370,$98.88,$100.65,$96.39
03/06/2025,$98.85,28984980,$99.05,$101.08,$98.27
03/05/2025,$101.67,27855490,$100.36,$101.84,$98.87
03/04/2025,$100.75,54156940,$96.00,$103.18,$95.89
03/03/2025,$98.23,38957990,$101.515,$102.34,$97.09
02/28/2025,$99.86,45194580,$99.56,$101.80,$98.69
02/27/2025,$99.51,47263730,$105.08,$105.76,$99.50
02/26/2025,$104.74,29178210,$104.945,$105.7999,$103.99
02/25/2025,$103.96,39169160,$107.885,$108.64,$103.62
02/24/2025,$108.11,29072210,$111.49,$111.60,$107.98
02/21/2025,$110.84,41353680,$114.845,$115.76,$110.43
02/20/2025,$114.17,27219570,$115.01,$116.55,$113.105
02/19/2025,$114.69,28807710,$114.245,$116.11,$113.14
02/18/2025,$114.28,31720310,$114.05,$115.55,$113.45
02/14/2025,$113.10,32477160,$112.65,$114.63,$111.70
02/13/2025,$111.81,40911800,$112.00,$114.60,$110.40
02/12/2025,$111.72,25319730,$109.52,$111.8356,$109.0649
02/11/2025,$111.10,35033760,$108.98,$113.07,$108.94
02/10/2025,$110.48,34905360,$108.44,$111.40,$108.15
02/07/2025,$107.56,46082500,$109.13,$109.92,$106.79
02/06/2025,$110.16,50426590,$110.93,$112.56,$109.02
02/05/2025,$112.01,110609300,$107.61,$112.09,$106.50
02/04/2025,$119.50,69412090,$115.45,$119.85,$114.79
02/03/2025,$114.27,34586050,$113.875,$115.16,$112.98
01/31/2025,$115.95,40533570,$119.14,$119.565,$115.33
01/30/2025,$118.86,29788380,$118.53,$120.44,$117.09
01/29/2025,$117.35,40199050,$115.77,$118.52,$114.96
01/28/2025,$114.17,40554760,$115.175,$116.15,$112.95
01/27/2025,$115.01,61067890,$117.80,$118.08,$112.80
01/24/2025,$122.84,31570300,$124.55,$125.25,$122.23
01/23/2025,$123.04,24921110,$121.425,$123.71,$120.63
